DATE,High,Low,Open,Close
29/01/1993,24.70165927,24.57876545,24.70165927,24.68410301
01/02/1993,24.85966492,24.70165857,24.70165857,24.85966492
02/02/1993,24.92988689,24.78943682,24.84210559,24.91233063
03/02/1993,25.19322688,24.92988304,24.9474393,25.17567062
04/02/1993,25.3336708,24.98254577,25.26344579,25.28100204
05/02/1993,25.31612321,25.12300438,25.26345444,25.26345444
08/02/1993,25.35123572,25.22834192,25.26345444,25.26345444
09/02/1993,25.17567956,25.03522947,25.17567956,25.08789825
10/02/1993,25.14057453,25.01768066,25.08790573,25.12301826
11/02/1993,25.35124441,25.15812551,25.15812551,25.24590683
12/02/1993,25.21079799,25.0527916,25.21079799,25.0527916
16/02/1993,24.98256541,24.38565239,24.98256541,24.42076492
17/02/1993,24.45588231,24.31543216,24.42076977,24.4032135
18/02/1993,24.68411098,24.05208538,24.68411098,24.38565445
19/02/1993,24.47344208,24.35054818,24.38566072,24.47344208
22/02/1993,24.59634417,24.47345023,24.54367534,24.56123161
23/02/1993,24.6490083,24.42077674,24.63145202,24.54367065
24/02/1993,24.85966492,24.56120849,24.56120849,24.85966492
25/02/1993,24.92988689,24.78943682,24.84210559,24.91233063
26/02/1993,24.96500881,24.82455869,24.96500881,24.94745255
01/03/1993,25.03521689,24.84209811,25.03521689,24.87721062
02/03/1993,25.24590683,24.85966903,24.89478156,25.24590683
03/03/1993,25.36880214,25.24590829,25.28102082,25.35124588
04/03/1993,25.38634364,25.2107811,25.38634364,25.2107811
05/03/1993,25.35124485,25.12301342,25.24590727,25.14056969
08/03/1993,25.70235825,25.19322683,25.19322683,25.70235825
09/03/1993,25.66725084,25.56191328,25.64969458,25.61458206
10/03/1993,25.66725922,25.50925283,25.61459042,25.66725922
11/03/1993,25.75502933,25.5619105,25.6848043,25.59702301
12/03/1993,25.40390614,25.17567478,25.38634988,25.33368111
15/03/1993,25.45659256,25.31614239,25.31614239,25.45659256
16/03/1993,25.52681764,25.45659256,25.45659256,25.45659256
17/03/1993,25.42146637,25.26346002,25.42146637,25.29857254
18/03/1993,25.56193018,25.40392375,25.40392375,25.45659256
19/03/1993,25.55916416,25.41805077,25.55916416,25.41805077
22/03/1993,25.32984928,25.15345757,25.17109674,25.27693176
23/03/1993,25.36513522,25.29457852,25.34749605,25.32985687
24/03/1993,25.43569193,25.17110429,25.29457852,25.32985687
25/03/1993,25.54154596,25.3122365,25.34751487,25.48862839
26/03/1993,25.48860944,25.32985686,25.47097027,25.34749603
29/03/1993,25.57680139,25.36513131,25.36513131,25.45332718
30/03/1993,25.5239048,25.45334805,25.48862642,25.5239048
31/03/1993,25.66500873,25.5062561,25.59445201,25.5062561
01/04/1993,25.54152499,25.36513324,25.54152499,25.41805077
02/04/1993,25.20637532,24.88887024,25.20637532,24.88887024
05/04/1993,25.08291635,24.94180289,25.08291635,25.01235962
06/04/1993,25.065283,24.87125196,25.065283,24.9418087
07/04/1993,25.02998543,24.92415039,24.97706791,25.02998543
